@relation 'STAGGER'
@attribute 'size' {small,medium,large}
@attribute 'color' {red,green}
@attribute 'shape' {circular,non-circular}
@attribute 'class' {p,n}

@data
small,red,circular,p
small,red,circular,p
medium,green,non-circular,n
small,red,non-circular,p
small,red,circular,p
medium,red,circular,n
small,red,non-circular,p
small,green,non-circular,p
medium,green,circular,n
small,red,circular,p
large,red,non-circular,n
large,green,non-circular,p
large,red,circular,p
small,red,circular,p
small,red,non-circular,p
small,green,circular,n
medium,red,non-circular,n
small,red,circular,p
medium,red,non-circular,n
small,red,circular,p
small,red,non-circular,p
small,red,non-circular,p
small,green,non-circular,n
small,red,non-circular,p
small,green,circular,n
small,red,non-circular,p
large,green,non-circular,n
small,green,non-circular,n
small,red,non-circular,p
medium,green,non-circular,n
medium,green,non-circular,n
small,red,circular,p
large,green,circular,n
large,green,non-circular,n
medium,green,non-circular,n
medium,red,non-circular,n
medium,red,non-circular,n
medium,green,non-circular,n
large,green,non-circular,n
small,green,non-circular,n
small,red,circular,p
medium,green,non-circular,n
small,red,non-circular,p
small,red,non-circular,p
large,red,non-circular,n
large,green,non-circular,n
small,green,non-circular,n
small,red,circular,p
large,green,non-circular,n
small,red,circular,p
small,red,circular,p
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
large,red,non-circular,n
small,green,non-circular,n
medium,green,circular,n
large,red,non-circular,n
small,red,circular,p
large,green,non-circular,n
small,red,non-circular,p
small,red,circular,p
medium,red,non-circular,n
medium,green,non-circular,n
small,green,circular,n
large,red,circular,n
small,red,circular,p
small,red,circular,p
large,green,non-circular,n
medium,green,non-circular,n
large,red,circular,n
small,red,circular,p
small,red,non-circular,p
large,green,circular,n
small,red,circular,p
small,red,circular,p
large,red,non-circular,n
medium,green,circular,n
medium,green,circular,n
large,green,circular,p
large,red,non-circular,n
small,red,circular,p
small,red,non-circular,p
small,red,non-circular,p
small,red,circular,p
small,red,circular,p
small,red,non-circular,p
small,red,non-circular,p
small,red,circular,p
large,red,non-circular,n
medium,red,circular,n
small,red,non-circular,p
medium,red,circular,n
small,red,circular,p
small,red,circular,p
small,red,non-circular,p
medium,red,circular,n
small,red,circular,p
small,green,circular,p
medium,red,circular,n
small,red,circular,p
large,red,non-circular,p
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
small,red,circular,p
small,red,circular,p
small,green,non-circular,n
small,red,circular,p
large,green,non-circular,n
medium,red,circular,n
small,green,circular,n
small,green,non-circular,n
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
medium,green,circular,n
large,green,non-circular,p
small,red,circular,p
large,green,non-circular,n
small,green,non-circular,n
medium,green,non-circular,n
small,red,circular,p
small,red,circular,p
small,red,non-circular,p
large,green,circular,n
large,green,non-circular,n
large,red,non-circular,n
medium,red,circular,n
large,green,non-circular,n
medium,red,non-circular,n
small,red,circular,p
small,red,non-circular,p
medium,red,circular,n
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
small,red,circular,p
large,red,circular,n
small,red,non-circular,p
small,red,circular,p
large,red,non-circular,n
small,red,circular,p
large,green,circular,p
small,red,non-circular,p
large,green,non-circular,n
small,red,circular,p
small,red,circular,p
medium,red,non-circular,n
small,red,circular,p
small,green,non-circular,n
small,red,circular,p
large,red,non-circular,n
small,red,circular,p
large,red,circular,n
large,red,non-circular,n
small,red,non-circular,p
small,green,non-circular,n
medium,red,non-circular,n
medium,red,non-circular,n
small,red,non-circular,p
medium,red,circular,n
medium,green,circular,n
large,green,circular,n
small,red,non-circular,p
small,green,circular,n
small,red,circular,p
small,green,non-circular,p
large,green,non-circular,n
small,red,circular,p
large,green,non-circular,n
large,red,non-circular,n
small,green,circular,n
small,red,non-circular,p
large,red,non-circular,n
small,red,circular,p
small,red,circular,p
small,red,non-circular,p
small,red,circular,p
small,red,circular,p
small,red,non-circular,p
medium,red,circular,n
medium,green,circular,n
small,green,non-circular,n
large,red,circular,n
small,red,circular,p
large,green,circular,n
small,green,non-circular,n
small,green,non-circular,n
small,red,non-circular,p
small,red,non-circular,p
small,red,non-circular,p
large,green,non-circular,n
medium,green,circular,n
large,green,non-circular,n
small,red,circular,p
medium,red,non-circular,p
large,red,non-circular,n
medium,red,non-circular,n
large,red,non-circular,n
medium,green,non-circular,n
large,red,non-circular,n
small,red,circular,p
small,red,circular,p
large,red,non-circular,p
small,red,non-circular,p
small,green,non-circular,n
medium,red,circular,n
large,red,non-circular,n
small,red,circular,p
medium,green,circular,n
small,red,non-circular,p
small,green,circular,p
small,green,circular,p
large,green,circular,p
large,green,non-circular,n
small,red,circular,p
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
small,red,non-circular,p
small,red,non-circular,p
small,red,non-circular,p
medium,green,non-circular,n
small,red,non-circular,p
large,red,non-circular,n
small,red,non-circular,p
medium,red,non-circular,n
small,red,non-circular,p
large,green,circular,n
small,red,non-circular,p
small,green,circular,n
small,red,circular,p
small,red,non-circular,p
medium,green,non-circular,n
small,red,non-circular,p
small,red,non-circular,p
small,green,circular,n
large,green,circular,n
small,red,non-circular,p
small,red,non-circular,p
large,green,non-circular,n
large,red,circular,n
small,red,circular,p
medium,red,non-circular,n
small,green,non-circular,n
large,green,circular,n
small,red,circular,p
small,red,non-circular,p
small,red,circular,p
small,green,non-circular,n
medium,red,non-circular,n
medium,green,non-circular,n
small,red,circular,p
medium,green,non-circular,n
small,red,non-circular,p
small,red,non-circular,p
small,green,circular,n
medium,red,circular,p
medium,green,circular,n
small,red,non-circular,p
medium,red,circular,n
small,red,circular,p
small,green,non-circular,n
medium,green,non-circular,p
small,red,circular,p
large,red,circular,n
small,red,non-circular,p
medium,green,circular,n
small,red,non-circular,p
medium,green,non-circular,n
medium,green,circular,n
large,red,circular,n
small,red,circular,p
small,red,circular,p
medium,red,circular,n
small,red,non-circular,p
large,green,non-circular,n
small,red,circular,p
small,red,non-circular,p
small,green,circular,n
large,red,circular,n
small,green,circular,n
small,red,circular,p
medium,green,non-circular,n
small,red,circular,p
medium,green,circular,n
medium,green,circular,n
large,red,non-circular,n
large,red,non-circular,n
large,green,circular,n
small,red,non-circular,p
medium,red,circular,n
small,red,circular,p
medium,green,circular,n
small,red,circular,p
small,red,non-circular,p
small,red,non-circular,p
small,red,non-circular,p
small,red,circular,p
small,red,circular,p
medium,red,non-circular,n
large,red,circular,n
medium,green,non-circular,n
small,green,circular,p
medium,red,non-circular,n
small,red,non-circular,p
medium,green,non-circular,n
large,red,non-circular,n
large,green,circular,n
small,green,circular,n
small,red,circular,p
small,green,non-circular,n
large,red,non-circular,n
large,green,circular,n
medium,green,non-circular,n
medium,green,non-circular,n
small,red,circular,p
small,red,circular,p
small,red,non-circular,p
small,red,non-circular,p
small,red,circular,p
large,red,circular,n
large,green,non-circular,n
medium,red,non-circular,n
medium,green,non-circular,n
medium,green,non-circular,n
small,red,non-circular,p
small,red,non-circular,p
small,red,non-circular,p
small,red,circular,p
large,red,circular,n
large,green,circular,n
small,red,circular,p
small,red,non-circular,p
small,red,circular,p
small,red,circular,p
small,green,circular,n
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
small,red,circular,p
small,red,circular,p
small,red,circular,p
large,green,circular,n
medium,green,non-circular,n
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
medium,red,non-circular,n
large,red,circular,n
small,red,circular,p
medium,red,non-circular,n
small,red,non-circular,p
large,green,non-circular,n
large,green,non-circular,n
small,red,non-circular,p
large,green,non-circular,n
small,green,non-circular,n
small,green,non-circular,n
medium,green,non-circular,p
small,red,non-circular,p
large,green,non-circular,n
small,red,non-circular,p
small,green,circular,n
small,red,circular,p
small,red,circular,p
small,red,circular,p
small,red,circular,p
small,red,circular,p
small,green,circular,n
medium,red,circular,n
large,red,circular,n
small,red,non-circular,p
large,green,non-circular,n
medium,red,non-circular,n
small,red,non-circular,p
medium,green,circular,n
small,red,circular,p
large,green,non-circular,n
small,red,non-circular,p
small,red,circular,p
large,red,circular,n
small,red,non-circular,p
small,red,non-circular,p
small,red,non-circular,p
large,red,circular,n
small,red,circular,p
small,red,circular,p
small,red,non-circular,p
large,red,circular,n
small,red,circular,p
small,red,circular,p
small,red,non-circular,p
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
medium,red,circular,n
medium,red,circular,p
medium,green,non-circular,n
small,red,non-circular,p
large,red,circular,n
small,red,circular,p
small,red,non-circular,p
medium,green,non-circular,n
small,green,circular,n
large,green,circular,p
large,red,circular,n
medium,red,non-circular,n
small,red,circular,p
small,red,circular,p
medium,red,circular,n
large,red,circular,n
small,green,non-circular,n
small,red,circular,p
medium,red,non-circular,n
small,red,non-circular,p
large,red,non-circular,n
large,green,non-circular,n
large,green,non-circular,n
small,red,circular,p
small,red,circular,p
medium,green,circular,n
small,red,non-circular,p
large,green,non-circular,n
small,red,non-circular,p
small,red,non-circular,p
small,red,non-circular,p
small,green,circular,n
small,red,circular,p
large,green,non-circular,n
small,red,circular,p
large,red,circular,n
small,green,non-circular,n
medium,green,circular,n
large,red,non-circular,p
small,red,non-circular,p
small,red,non-circular,p
medium,green,non-circular,n
small,red,circular,p
medium,red,non-circular,n
small,red,circular,p
small,red,non-circular,p
medium,red,circular,n
small,green,circular,n
small,red,non-circular,p
medium,red,non-circular,p
medium,red,non-circular,n
medium,red,circular,n
small,red,non-circular,p
medium,green,circular,n
large,red,non-circular,n
small,red,non-circular,p
large,red,non-circular,n
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
large,red,non-circular,n
small,red,circular,p
small,red,non-circular,p
small,red,non-circular,p
large,red,non-circular,n
medium,red,circular,p
small,red,non-circular,p
medium,green,non-circular,p
small,red,circular,p
small,red,non-circular,p
medium,green,circular,n
small,red,non-circular,p
small,green,circular,n
small,red,non-circular,p
medium,red,non-circular,n
large,red,non-circular,n
medium,red,circular,n
small,green,non-circular,n
small,green,circular,n
small,red,circular,p
medium,green,non-circular,n
small,red,non-circular,p
large,green,circular,n
small,red,circular,p
small,red,circular,p
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
small,red,circular,p
large,green,circular,n
small,green,circular,n
small,red,circular,p
small,green,circular,n
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
small,red,non-circular,p
medium,red,circular,n
large,green,circular,n
large,red,non-circular,p
medium,green,circular,n
small,red,non-circular,p
small,red,non-circular,p
large,green,non-circular,n
large,red,circular,n
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
medium,red,non-circular,n
large,green,non-circular,n
medium,green,circular,n
small,red,circular,p
small,green,circular,p
medium,green,circular,n
small,red,non-circular,p
medium,green,circular,p
small,red,non-circular,p
small,red,circular,p
small,red,circular,p
medium,red,circular,n
medium,red,non-circular,p
small,red,non-circular,p
large,red,circular,n
small,red,non-circular,p
large,red,non-circular,n
medium,green,circular,n
small,red,non-circular,p
small,red,circular,p
medium,green,circular,n
medium,red,non-circular,n
small,red,non-circular,p
large,red,non-circular,p
small,green,non-circular,n
medium,red,circular,p
medium,red,circular,n
small,red,non-circular,p
medium,green,non-circular,n
small,red,non-circular,p
large,red,circular,n
small,red,non-circular,p
small,red,non-circular,p
small,green,circular,n
small,green,circular,n
small,green,circular,n
small,red,non-circular,p
large,green,circular,n
medium,red,non-circular,n
small,red,non-circular,p
small,red,circular,p
medium,green,non-circular,n
medium,red,circular,n
medium,red,circular,n
large,red,circular,n
small,green,circular,n
small,green,non-circular,n
medium,red,circular,n
medium,green,circular,n
small,red,non-circular,p
large,green,non-circular,n
medium,green,circular,n
small,green,circular,n
small,red,non-circular,p
large,green,non-circular,n
medium,green,non-circular,n
small,red,non-circular,p
medium,red,non-circular,n
small,red,non-circular,p
medium,red,circular,n
small,red,non-circular,p
small,green,non-circular,n
small,red,circular,p
large,red,circular,n
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
small,red,circular,p
medium,green,non-circular,n
small,green,circular,n
small,red,circular,p
medium,green,circular,n
small,red,circular,p
small,red,non-circular,p
large,green,non-circular,n
large,green,non-circular,n
medium,green,non-circular,n
small,red,circular,p
small,green,circular,n
small,red,non-circular,p
medium,red,non-circular,p
small,red,non-circular,p
medium,red,non-circular,n
small,red,non-circular,p
small,red,circular,p
small,red,circular,p
small,red,circular,p
medium,red,circular,n
small,red,circular,p
large,red,non-circular,n
small,green,non-circular,n
medium,red,circular,n
small,red,circular,p
medium,red,non-circular,n
large,green,non-circular,n
small,red,circular,p
large,green,non-circular,p
small,red,circular,p
medium,green,non-circular,n
large,red,non-circular,p
large,green,circular,n
small,red,non-circular,p
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
small,red,non-circular,p
medium,green,non-circular,p
small,green,circular,n
small,red,non-circular,p
large,green,non-circular,n
small,red,circular,p
medium,green,circular,n
large,green,non-circular,n
medium,green,non-circular,n
medium,green,non-circular,n
medium,green,circular,n
small,red,circular,p
large,green,circular,n
small,red,non-circular,p
small,red,circular,p
small,red,non-circular,p
large,green,circular,n
large,red,circular,n
small,red,non-circular,p
small,red,circular,p
large,green,non-circular,n
small,red,circular,p
large,red,non-circular,n
small,red,circular,p
large,green,circular,n
medium,green,circular,n
medium,green,non-circular,n
large,green,circular,n
small,red,circular,p
small,red,non-circular,p
small,red,non-circular,p
small,green,circular,p
small,red,non-circular,p
small,red,non-circular,p
small,red,circular,p
small,green,non-circular,n
small,red,circular,p
medium,red,circular,n
small,red,non-circular,p
small,green,circular,n
small,red,circular,p
small,red,circular,p
medium,red,non-circular,n
medium,red,circular,n
large,green,circular,n
medium,green,non-circular,n
small,red,circular,p
small,red,circular,p
small,green,non-circular,n
small,red,non-circular,p
medium,red,non-circular,n
small,red,non-circular,p
small,red,circular,p
large,red,non-circular,n
small,green,circular,n
